"State","rate","deaths","Pop"
"Louisiana","18.5000",858,4652581
"Alaska","17.5000",116,735720
"Montana","16.9000",161,1074532
"Nevada","16.1000",390,3087025
"Arizona","16.1000",934,7275070
"Tennessee",16,976,6833793
"Mississippi",16,455,2987895
"Alabama",16,736,4898246
"Arkansas","15.7000",439,3026412
"Idaho","14.1000",195,1790182
"New Mexico","13.9000",267,2096034
"West Virginia","13.8000",261,1791951
"South Carolina","13.8000",589,5147111
"Wyoming","13.4000",71,572381
"Oklahoma","13.2000",468,3948950
"Kentucky",13,548,4484047
"Missouri","12.9000",752,6147861
"North Carolina","12.8000","1,119",10497741
"Georgia","12.1000","1,064",10627767
"Maryland","11.9000",657,6062917
"Colorado","11.6000",535,5770545
"Virginia","11.5000",888,8571946
"Indiana","11.2000",705,6718616
"Texas","11.1000","2,490",29087070
"Pennsylvania","10.8000","1,352",12813969
"Michigan","10.8000","1,074",10020472
"Oregon","10.7000",402,4245901
"South Dakota","10.2000",82,892631
"Utah","10.1000",227,3221610
"Florida",10,"1,838",21646155
"Ohio","9.6000","1,116",11718568
"California","9.5000","3,453",39747267
"Kansas","9.3000",257,2910931
"Washington","8.8000",567,7666343
"North Dakota","8.8000",61,760900
"Delaware","8.8000",75,975033
"Wisconsin","8.5000",474,5832661
"Illinois",8,"1,019",12700381
"Maine","7.8000",109,1342097
"Nebraska","7.7000",135,1940919
"Minnesota",7,361,5655925
"Vermont","6.8000",44,627180
"Iowa","6.7000",201,3167997
"New Hampshire","6.6000",88,1363852
"New York","5.3000","1,019",19491339
"Connecticut","5.3000",187,3567871
"New Jersey","5.2000",434,8922547
"Rhode Island","3.6000",39,1056738
"Massachusetts","3.4000",224,6939373
"Hawaii","2.1000",28,1416589
