"State","gunOwnership","Pop"
"Delaware","0.0520",975033
"Rhode Island","0.0580",1056738
"New York","0.1030",19491339
"New Jersey","0.1130",8922547
"New Hampshire","0.1440",1363852
"Connecticut","0.1660",3567871
"Ohio","0.1960",11718568
"Nebraska","0.1980",1940919
"California","0.2010",39747267
"Maryland","0.2070",6062917
"Maine","0.2260",1342097
"Massachusetts","0.2260",6939373
"Illinois","0.2620",12700381
"Oregon","0.2660",4245901
"Missouri","0.2710",6147861
"Pennsylvania","0.2710",12813969
"Washington","0.2770",7666343
"North Carolina","0.2870",10497741
"Michigan","0.2880",10020472
"Vermont","0.2880",627180
"Virginia","0.2930",8571946
"Oklahoma","0.3120",3948950
"Georgia","0.3160",10627767
"Utah","0.3190",3221610
"Kansas","0.3220",2910931
"Arizona","0.3230",7275070
"Florida","0.3250",21646155
"Indiana","0.3380",6718616
"Iowa","0.3380",3167997
"Colorado","0.3430",5770545
"Wisconsin","0.3470",5832661
"South Dakota","0.3500",892631
"Texas","0.3570",29087070
"Minnesota","0.3670",5655925
"Nevada","0.3750",3087025
"Tennessee","0.3940",6833793
"Kentucky","0.4240",4484047
"Mississippi","0.4280",2987895
"South Carolina","0.4440",5147111
"Louisiana","0.4450",4652581
"Hawaii","0.4510",1416589
"North Dakota","0.4790",760900
"Alabama","0.4890",4898246
"New Mexico","0.4990",2096034
"Montana","0.5230",1074532
"Wyoming","0.5380",572381
"West Virginia","0.5420",1791951
"Idaho","0.5690",1790182
"Arkansas","0.5790",3026412
"Alaska","0.6170",735720
