"State","homicideRate2017","firearmDeathRate","firearmDeaths","Pop"
"New Hampshire",1,"9.3000",132,1363852
"North Dakota","1.3000","11.9000",90,760900
"Maine","1.7000","8.3000",123,1342097
"Idaho","1.9000","14.6000",242,1790182
"Rhode Island","1.9000","4.1000",49,1056738
"Minnesota",2,"7.6000",432,5655925
"Nebraska","2.2000","9.1000",171,1940919
"Vermont","2.2000","11.1000",78,627180
"Utah","2.4000","12.9000",370,3221610
"Massachusetts","2.5000","3.4000",242,6939373
"Oregon","2.5000","11.9000",513,4245901
"Wyoming","2.6000","17.4000",101,572381
"Hawaii","2.7000","4.5000",66,1416589
"Connecticut","2.8000","4.6000",172,3567871
"New York","2.8000","4.4000",900,19491339
"South Dakota","2.9000","13.4000",108,892631
"Washington","3.1000",9,686,7666343
"Wisconsin","3.2000","11.4000",664,5832661
"Iowa","3.3000","9.2000",288,3167997
"New Jersey","3.6000","5.5000",485,8922547
"Colorado","3.9000","14.3000",812,5770545
"Montana","3.9000","18.9000",194,1074532
"California","4.6000","7.9000",3184,39747267
"West Virginia","4.7000","17.5000",332,1791951
"Florida",5,"12.6000",2704,21646155
"Texas",5,"12.1000",3353,29087070
"Virginia","5.3000","12.1000",1049,8571946
"Kansas","5.5000","13.4000",383,2910931
"Delaware","5.6000",11,111,975033
"Michigan","5.7000","12.3000",1230,10020472
"North Carolina","5.8000","13.7000",1409,10497741
"Pennsylvania","5.8000",12,1555,12813969
"Arizona","5.9000","15.2000",1094,7275070
"Kentucky","5.9000","17.5000",772,4484047
"Indiana",6,15,997,6718616
"Ohio","6.1000","12.9000",1524,11718568
"Oklahoma","6.2000","19.6000",766,3948950
"Georgia","6.7000",15,1571,10627767
"New Mexico","7.1000","18.1000",383,2096034
"Illinois","7.8000","11.7000",1490,12700381
"South Carolina","7.8000","17.7000",891,5147111
"Tennessee","7.8000","17.1000",1148,6833793
"Mississippi","8.2000","19.9000",587,2987895
"Alabama","8.3000","21.5000",1046,4898246
"Alaska","8.4000","23.3000",177,735720
"Arkansas","8.6000","17.8000",541,3026412
"Maryland",9,"11.9000",707,6062917
"Nevada","9.1000","16.8000",498,3087025
"Missouri","9.8000",19,1144,6147861
"Louisiana","12.4000","21.3000",987,4652581
